data,m,m_err,b,b_err,intscat,intscat_err,1sigma,2sigma,3sigma
KMOS3D,2.86311091568749,1.0945679007261904,3.5241957961138826,2.4863003689851144,0.035134247436283156,0.031438046765522025,0.10655241318331983,0.21310482636663966,0.3196572395499595
KROSS,2.1655385588081826,0.30364656061285844,5.266194430732823,0.6409924698091185,0.01412369772568504,0.012760880608007636,0.033688963560082885,0.06737792712016577,0.10106689068024864
KGES,3.8094322608350675,1.186789500896695,1.464102245844085,2.7000502611615085,0.06382559124329834,0.058131338977227706,0.2513770254783275,0.502754050956655,0.7541310764349826
COMBINED,2.0796767063904302,0.23106844694448836,5.428151693494153,0.49255711998297347,0.012818891720687595,0.011516823695638084,0.029580978534103707,0.05916195706820741,0.08874293560231113
