Names,Re,Re_err,VRe,VRe_lerr,VRe_uerr,VRopt,VRopt_lerr,VRopt_uerr,VRout,VRout_lerr,VRout_uerr,Vdisp,Vdisp_lerr,Vdisp_uerr,Rot2disp_int,Rot2disp_pgc
COS4_04519,2.4420667311447084,0.06760046314587427,188.3141682918632,31.482869899297174,31.482869899297174,175.54975456741204,47.51471237244888,47.51471237244888,175.54975456741204,47.51471237244888,47.51471237244888,64.383,12.949554625546007,12.949554625546007,2.828,3.27
COS4_05656,2.384789228633021,0.02315329348187399,247.97305022979506,30.264223390442734,30.264223390442734,233.1841365454241,45.47848852587172,45.47848852587172,260.4191766116557,43.88058794051653,43.88058794051653,48.2,15.149595704176399,15.149595704176399,5.439,5.714
COS4_06487,4.0061466298125,0.032113399838176356,473.5578390768918,75.99872630066696,75.99872630066696,490.4689400780544,76.92818829956023,76.92818829956023,490.4689400780544,76.92818829956023,76.92818829956023,138.361,15.489952259448705,15.489952259448705,3.524,3.545
COS4_07901,5.513158982155697,0.11137694913445853,59.230267311237625,20.0850759381858,20.0850759381858,53.858126952157356,19.85025865866195,19.85025865866195,53.858126952157356,19.85025865866195,19.85025865866195,44.566,13.51183647769614,13.51183647769614,0.574,1.719
COS4_08775,3.6338636038034555,0.0849033552290527,88.82454201104302,20.514961764615894,20.514961764615894,92.85369082408276,29.28450699588634,29.28450699588634,92.85369082408276,29.28450699588634,29.28450699588634,35.357738898294954,14.764258024025455,14.764258024025455,2.277,3.124
COS4_10344,2.3709429935177986,0.08684772870028566,114.26840398753865,15.765520212065834,15.765520212065834,96.70269153488113,13.104254362414043,13.104254362414043,96.70269153488113,13.104254362414043,13.104254362414043,48.381,12.41829134784653,12.41829134784653,2.195,2.74
COS4_11696,1.363559043680238,0.0347403578007704,168.0205109068285,21.328063481765863,21.328063481765863,165.38154410698058,22.133087773419085,22.133087773419085,157.7559096353508,32.62681836233237,32.62681836233237,70.25,12.6916719150788,12.6916719150788,1.777,2.404
COS4_12056,5.718108623307474,0.18249282840343,157.1075956056716,26.20910718104892,26.20910718104892,157.1075956056716,26.20910718104892,26.20910718104892,157.1075956056716,26.20910718104892,26.20910718104892,45.372,12.291375594293749,12.291375594293749,3.316,3.646
COS4_12476,1.9366886091621873,0.04342351141619253,165.41993126958573,24.932536502857264,24.932536502857264,172.77179138705296,25.905988815336556,25.905988815336556,172.77179138705296,25.905988815336556,25.905988815336556,96.72,14.349420092812112,14.349420092812112,0.316,2.615
COS4_13038,3.030053801427689,0.0694568206630989,110.08838783874117,21.21377201803356,21.21377201803356,84.90256457568118,15.081115636541892,15.081115636541892,84.90256457568118,15.081115636541892,15.081115636541892,44.05197544378685,12.960979554030628,12.960979554030628,1.823,2.503
COS4_13701,4.0827160260498605,0.10185570127359321,144.86053824483528,18.778094629585915,18.778094629585915,115.33424580104092,13.958286605499863,13.958286605499863,115.33424580104092,13.958286605499863,13.958286605499863,68.784,12.769143471666375,12.769143471666375,1.712,2.508
COS4_15820,4.146208591880015,0.06825034719144056,92.14622776767462,20.68511194828709,20.68511194828709,92.14622776767462,20.68511194828709,20.68511194828709,92.14622776767462,20.68511194828709,20.68511194828709,46.875,13.604990334432436,13.604990334432436,1.422,2.065
COS4_16172,7.151529605546435,0.04143412285948108,397.57731860359115,67.35606614816467,67.35606614816467,443.80306793889014,81.77338700194848,81.77338700194848,443.80306793889014,81.77338700194848,81.77338700194848,50.429,14.099709216859758,14.099709216859758,8.76,8.801
COS4_16986,0.754384022709346,0.03210144777486579,113.57682831630137,23.484421970386045,23.484421970386045,105.2166361971612,21.890337216339372,21.890337216339372,96.34444236957509,20.198626222865627,20.198626222865627,55.204,13.282917224766555,13.282917224766555,0.578,2.063
COS4_17162,1.9545527390568604,0.04343450531237467,165.13764088134553,20.335744429451577,20.335744429451577,202.33064680765577,19.769364555063195,19.769364555063195,392.8901843141074,18.21808990404874,18.21808990404874,139.5374027510187,12.160289840295748,12.160289840295748,1.149,4.637
COS4_17519,3.4023546265670315,0.052076856529087216,272.2230496347431,55.983387499613315,55.983387499613315,233.8127108379873,68.02062632481591,68.02062632481591,233.8127108379873,68.02062632481591,68.02062632481591,126.059,15.917349433872463,15.917349433872463,1.775,2.214
COS4_17628,4.360037149328982,0.024088603034966752,191.50786378258314,21.686932118672853,21.686932118672853,197.0392936818732,39.939280725658335,39.939280725658335,197.0392936818732,39.939280725658335,39.939280725658335,36.763,13.489964010330048,13.489964010330048,5.433,5.446
COS4_17657,3.884981246571862,0.024030811834465128,127.50595254536763,20.753637792462023,20.753637792462023,104.91872211665859,22.81194692820697,22.81194692820697,104.91872211665859,22.81194692820697,22.81194692820697,57.20632486447631,13.904009763374019,13.904009763374019,1.71,2.36
COS4_17808,3.3109563481755817,0.04345087071096564,160.8632185316338,24.88188045083982,24.88188045083982,160.07782270176546,30.904426749987188,30.904426749987188,160.07782270176546,30.904426749987188,30.904426749987188,41.336,12.174492556160196,12.174492556160196,4.055,4.329
COS4_18064,1.8677216716248584,0.026061232627323606,346.31662554097517,42.82150722770522,42.82150722770522,237.84864814398182,34.43908309655145,34.43908309655145,237.84864814398182,34.43908309655145,34.43908309655145,145.88,11.62419769274422,11.62419769274422,1.671,2.422
COS4_18435,2.7900763582444004,0.03465933364278758,189.48979327453839,19.339862905901498,19.339862905901498,176.82402725846126,34.01669740647452,34.01669740647452,176.82402725846126,34.01669740647452,34.01669740647452,78.126,13.320144443661261,13.320144443661261,1.806,2.56
COS4_18969,5.020475675370242,0.060591947806192564,75.9068605830229,20.06503583035842,20.06503583035842,52.412185075158,14.517563889572092,14.517563889572092,52.412185075158,14.517563889572092,14.517563889572092,33.08264273754441,12.844853716566803,12.844853716566803,1.748,2.299
COS4_19066,4.716431027846063,0.04845648316280202,304.5598802383998,34.05677357509148,34.05677357509148,304.5598802383998,34.05677357509148,34.05677357509148,304.5598802383998,34.05677357509148,34.05677357509148,14.227,13.797271106997934,13.797271106997934,21.352,21.407
