Name,file_name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
COS4_04519,COS4_04519_K.fits,0.4128255897682735,0.4259647566702145,0.4389989122853809,0.15152159326615533,0.1627919453178271,0.17401207199626578
COS4_05656,COS4_05656_YJ.fits,0.39362806661109173,0.39839435227935427,0.4031321497464548,0.14611523152537906,0.1501049897300448,0.1540121196388184
COS4_06487,COS4_06487_YJ.fits,0.5162785811232433,0.5354770832651158,0.5549667127331677,0.1182053091758409,0.13233221581983834,0.14630831419330312
COS4_07901,COS4_07901_YJ.fits,0.854723575714305,0.8773136808474058,0.9006464307481834,0.06940863640999675,0.08142275573102192,0.09332256371245364
COS4_08775,COS4_08775_K.fits,1.0142490233394974,1.0725039438231359,1.1391835821542131,-0.022040793654283863,0.0015183568665482667,0.024198349919311628
COS4_10344,COS4_10344_H.fits,0.4562684546153617,0.47371752778627474,0.49197448890079803,0.15952711788929266,0.17738566950039064,0.19482342412535467
COS4_11696,COS4_11696_H.fits,0.41052974038919465,0.41787225898470876,0.4251802712250248,0.18855248397360191,0.19616249690670307,0.20374607087274985
COS4_12056,COS4_12056_H.fits,0.4536054418342254,0.46776016260650033,0.48221199408691945,0.13870215326817825,0.15195904881587052,0.16500039268609468
COS4_12476,COS4_12476_H.fits,0.5337540322946043,0.5521366571899999,0.5713962159289951,0.13070208330708882,0.14705311888791864,0.16330440225219012
COS4_13038,COS4_13038_H.fits,0.637427849272671,0.648327613479292,0.6593014821170529,0.125394653883683,0.13387902133152468,0.14227654375501286
COS4_13701,COS4_13701_K.fits,0.7009965828307565,0.7139481895965485,0.7272575793132147,0.08891503863385772,0.09650569393800745,0.104017750448143
COS4_15820,COS4_15820_K.fits,0.9373460225945318,0.9819655143431746,1.0315044362386898,0.024914264242470764,0.033337978218552146,0.04170711913298184
COS4_16172,COS4_16172_YJ.fits,0.8871291175105162,0.906933238824339,0.9270426372350765,0.054340902860953555,0.06360774927153423,0.07278887424002743
COS4_16986,COS4_16986_YJ.fits,0.2050725733334923,0.2119579632743663,0.2190582487768141,0.21798851496202618,0.22852485829509123,0.23869056137429043
COS4_17162,COS4_17162_H.fits,0.5312372956059913,0.5436572497662985,0.5559369386454166,0.13808577787847337,0.14770979757234148,0.15735035763513178
COS4_17519,COS4_17519_H.fits,0.39214456694340144,0.4007011821850583,0.4093491234131988,0.22043090863176282,0.2307342283699052,0.24080051694456805
COS4_17628,COS4_17628_YJ.fits,0.7356897887852116,0.7477995370323448,0.7600631952602818,0.11733799042096003,0.12617313420806886,0.13487225407697526
COS4_17657,COS4_17657_YJ.fits,0.6112666788636756,0.6265975377649615,0.642080372295586,0.12596378563795188,0.13957834316535025,0.15301043691583127
COS4_17808,COS4_17808_H.fits,0.6010862640153773,0.6165266788782677,0.6325031172462389,0.13251778017020643,0.14465521273679094,0.15657432217947675
COS4_18064,COS4_18064_H.fits,0.5842124517955649,0.6108524007897678,0.638203059568513,0.11097396893942583,0.13249195702719668,0.15353520806239032
COS4_18435,COS4_18435_H.fits,0.624152520375416,0.6386216006506937,0.6531960858996887,0.11726092416781457,0.12606727037746873,0.13492376739409775
COS4_18969,COS4_18969_H.fits,0.7406248691629111,0.7541705152477015,0.7676738945598256,0.10785613694949814,0.11655799690193117,0.1252821018125807
COS4_19066,COS4_19066_YJ.fits,0.6474477411985261,0.6690123127988832,0.6908398333642791,0.0753280426648036,0.08524615274548286,0.09514329679333486
COS4_19648,COS4_19648_YJ.fits,0.6291863642349935,0.6463722084928379,0.6636125025135244,0.19126244564521697,0.2122017256922176,0.2328632889142097
COS4_19667,COS4_19667_YJ.fits,0.5150490748950051,0.5330898516605562,0.551921128892364,0.11777711505400745,0.13111999709517663,0.14428082641023626
COS4_19680,COS4_19680_K.fits,0.5622034694933681,0.5712685929497128,0.5803835894718733,0.11326201398371012,0.11798740201267278,0.12269901875501449
COS4_20449,COS4_20449_H.fits,0.7697177087755528,0.7860913437433794,0.8030689006805526,0.10359695809282503,0.11264286930252349,0.12147352038276671
COS4_20595,COS4_20595_H.fits,0.4660165795349975,0.48068838036570555,0.49552973101018966,0.17909282477991875,0.19498400684462294,0.2105549888812211
COS4_21570,COS4_21570_K.fits,0.6608233079734914,0.6836424650048227,0.7077088405128291,0.09096671693261538,0.10524669943318699,0.11926375504073333
COS4_23070,COS4_23070_YJ.fits,0.5444558822672924,0.5560121328853793,0.5677472183736326,0.15531595800250098,0.1679994780881362,0.1805355203903274
COS4_23890,COS4_23890_YJ.fits,0.7655990083845075,0.7823203426178863,0.7997906336452385,0.12857614746672322,0.14708983665081554,0.16526416053848744
COS4_24738,COS4_24738_H.fits,0.5127719437618261,0.5286523989905265,0.5450517748939747,0.14663794021264745,0.16193186523726316,0.176722994456592
GS4_00984,GS4_00984_YJ.fits,0.5558906265563808,0.5727297892078321,0.5899353368002105,0.07858974875056521,0.09127558640909936,0.10382653719681617
GS4_01962,GS4_01962_H.fits,0.508871938321745,0.5253284779929547,0.54204190713719,0.12472923179614004,0.13928632050553386,0.15354664570711832
GS4_05881,GS4_05881_YJ.fits,0.6538792122979319,0.6652279554976559,0.6766001631117136,0.1560338456711255,0.16960125365476952,0.18311176483232136
GS4_09989,GS4_09989_YJ.fits,0.39983358573203187,0.4113886540437424,0.4231244267050309,0.18969193735059647,0.20643303070355762,0.22253638417228858
GS4_10566,GS4_10566_YJ.fits,0.4316627744710907,0.4489342954154756,0.46655554723472287,0.15748014375468813,0.1779302990347404,0.19780426199154177
GS4_10784,GS4_10784_H.fits,0.5006907540526748,0.5202791009129872,0.5406225640330252,0.1673417358232721,0.18944314660166683,0.21082035413624525
GS4_15836,GS4_15836_H.fits,0.3899285484442662,0.40382927388290035,0.4181350806151838,0.1580662416678379,0.1718259820570916,0.18532082961750962
