Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
U4_31577_H,1.51753,4.498911518,0.060796102,3.729993205,1.547454317,1.1749E+11,11748975549,2.10245E+11,1.49691E+11,38030136948,33798515586,59841509943,53663018135,70331721550,63230090837,57162833902,39789774372,1.00057E+11,65909234468,1.27479E+11,82964055793,448.1390052,30.43935412,389.4499017,43.94577667,389.4499017,43.94577667,4.331027426
U4_32491_YJ,0.80248,6.162710183,0.100520994,7.881801829,3.278014223,4677351413,467735141.3,23675214878,19565184192,1514007022,1341988846,2382333420,2134748900,2799956267,2516666459,2793993036,1595299864,5751206752,2700939966,8710543446,3524836237,195.4819715,27.77213533,205.5324814,26.98021596,205.5324814,26.98021596,3.068210038
U4_33182_YJ,0.91151,3.119403907,0.056277906,4.24853165,1.777561321,41686938347,4168693835,77560220093,54997210583,13493601783,11940865376,21232568960,19017052839,24954636494,22426671473,15416721378,13515009149,26484093190,21340796964,34510481088,25275751447,131.1239919,16.45726533,139.3504123,23.42660272,139.3504123,23.42660272,2.927094264
U4_34173_YJ,0.89611,3.848675081,0.048008421,5.710407984,2.385165262,19054607180,1905460718,50706246740,36944611808,6167766011,5486849661,9705156507,8705561527,11406469617,10255579313,8009211195,6204377706,14663013239,9871364840,20296160757,11852001223,143.5919565,19.18430931,162.9975935,37.81648044,162.9975935,37.81648044,3.513016204
U4_34545_YJ,1.01004,2.763797157,0.057750985,3.292580422,1.367627325,3388441561,338844156.1,20752787907,17691864239,1096801130,967954007.7,1725847999,1544565699,2028389006,1822485997,2440040007,1230049643,5180925412,2197564883,7956005660,2992789211,176.8524426,26.89820198,202.624913,44.32287506,202.624913,44.32287506,3.325631743
U4_36227_YJ,0.78827,3.174173681,0.030742602,9.699430491,5.355406811,6025595861,602559586.1,28399829370,23171407610,1950418867,1739645374,3069039961,2755005716,3607042405,3243826597,2327949276,1959490057,4230374782,3121204715,6000862450,3782218992,107.4377627,19.55213906,118.1239771,14.07657224,118.1239771,14.07657224,3.904079914
U4_39208_H,1.5268,2.571160456,0.086863529,2.334903594,0.970055774,5370317964,537031796.4,40779628248,35814236972,1738312645,1515128459,2735284744,2439330336,3214779928,2885399836,5094005545,3200610135,11136705197,7757648635,17210743865,13086402649,144.070122,14.74168071,134.5544778,13.88839046,134.5544778,13.88839046,3.495388404
C-HiZ_z1_245,0.833362054,3.4952984,1.0485896,17.72710018,7.505464377,7962153419,3669195124,30800692415,24186664726,2577261172,962567687.2,4055394285,1985093934,4766304559,2498488178,2709904981,2577418964,4489174937,4057521611,5724002137,4777121577,119.8885647,21.67128537,158.3235611,27.52554535,189.233667,21.23520157,4.265967355
C-HiZ_z1_258,0.837600693,4.6041574,1.3812473,19.07991965,8.0954642,10691297668,4926865285,34971472820,26529808730,3460655040,1292501817,5445439843,2665513848,6400024985,3354881455,3653959289,3460869612,6068220438,5448217601,7752040070,6413529430,136.1909504,25.11485607,147.8225613,29.14813957,166.1382457,23.31848545,4.272830151
C-HiZ_z1_267,0.839406416,4.431997,1.3295991,12.19233412,5.130343852,2254395961,1038892148,16608734479,14530290274,729723087.6,272540438.8,1148240183,562057467.6,1349526589,707419384.5,960428770.2,730763077.8,1860280959,1159802225,2823466262,1396458601,91.153271,9.641052227,89.70315756,7.937515434,89.70315756,7.937515434,4.27573128
