Names,Redshift,Re,Re_err,Rgas,Rgas_err,Mstar,Mstar_err,Mbar,Mbar_err,Mstar_Re,Mstar_Re_err,Mstar_Ropt,Mstar_Ropt_err,Mstar_Rout,Mstar_Rout_err,Mbar_Re,Mbar_Re_err,Mbar_Ropt,Mbar_Ropt_err,Mbar_Rout,Mbar_Rout_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,PSF
cosmos_111029,1.32884488293,3.393348008653483,0.3393347880221593,5.722730271267944,2.3832867898877934,57259999232.0,5725999923.2,100320088418.15564,71644112059.31943,18534429689.38688,15084805849.699863,29164456074.946377,25517163602.99447,34276982746.412804,30591487270.770134,20783020820.104122,18564078735.81679,35327828977.76484,29339372671.89178,45516853055.22067,34823828744.87767,150.91038091016702,28.628542872153474,142.745729264704,23.93735350581488,142.745729264704,23.93735350581488,7.265136529186722
cosmos_127977,1.61975089221,2.1116280604037687,0.211162809277231,16.94626116720518,7.543565885256015,11230000128.0,1123000012.8,73258332433.03696,63036710823.28908,3635027079.5655336,2958476648.7463923,5719819242.8836775,5004501465.484179,6722503070.076002,5999692811.9546995,3768067401.576671,3635502289.6100264,6170013145.402473,5724090285.8446665,7756286801.6375675,6743432132.480302,123.21491367759285,22.675647858732017,179.72723477436347,21.23080863350892,196.6673971008715,18.625074924962,6.227674511272162
cosmos_130477,1.46533550745,2.825885887272133,0.2825885758003756,10.962296216493623,4.78784265812013,25280000000.0,2528000000.0,57717835354.20244,41125315347.92585,8182856947.819323,6659865478.9627075,12875959822.972084,11265698649.820753,15133114485.706383,13505986877.95524,8505605244.990565,8183716385.620186,13903334594.69861,12882390877.927134,17333200183.336143,15158638619.363815,201.55384283817796,39.335442880877935,232.95956213750844,41.31772786873856,232.95956213750844,41.31772786873856,5.1264755028795514
cosmos_130592,1.56515641593,2.917263927560722,0.2917264057043691,4.559350315415382,1.8977769721615898,2960000000.0,296000000.0,93902362393.18823,90990520812.08228,958119326.1687182,779794367.9939415,1507628207.1201491,1319084964.9210358,1771915303.7061274,1581397196.4737093,4224820450.357128,1398819791.7538579,10960499285.056465,3618572882.5416007,20000759296.45507,6894884005.179855,132.85182333557694,23.646627405289472,134.89093771472733,20.378667451914808,134.89093771472733,20.378667451914808,5.134985694148833
cosmos_132082,1.53849092703,4.530143140683107,0.4530143270137359,4.2437121827927164,1.7779720298921013,14979999744.0,1497999974.4,47674114518.36333,35962557378.605354,4848860561.057044,3946391707.153112,7629820998.887504,6675639339.936924,8967327971.59036,8003151892.450422,8330334890.775562,5037655645.971925,16072673933.739399,8462590485.529627,22668292876.097923,10926961806.39714,210.78509785167785,29.003720672461693,194.8820089402939,9.782093777590156,194.8820089402939,9.782093777590156,4.783231601070048
cosmos_133977,1.53281729153,3.820664008236725,0.3820664137682291,4.888351683436979,2.029708843896162,7713999872.0,771399987.2,56929794961.2236,49816666691.87795,2496936607.914263,2032207318.182806,3929001282.6852765,3437642315.4622517,4617754873.643211,4121249247.4032393,5303136437.201544,2565526070.369415,11540354820.431656,4222335935.959405,18367031422.344795,5260194109.92948,194.43027534708455,42.72024997450522,188.2225315531198,29.309666795545983,188.2225315531198,29.309666795545983,6.045069152038268
cosmos_169088,1.61754239467,3.7752747527036106,0.3775274623219292,4.133383586895859,1.7143838338237485,5539999744.0,553999974.4,64011199538.30395,58733063963.57107,1793236764.0865376,1459479944.7078614,2821709419.423245,2468827832.853341,3316354840.851901,2959777050.5838127,5986929343.489712,2077113714.0963948,13826073530.181635,4057217671.452055,22533292305.447544,6121825920.101935,168.40358434179365,35.38080263273619,160.45590886519946,17.13329651309841,160.45590886519946,17.13329651309841,6.137386861745395
cosmos_171407,1.52509715796,2.186094409347673,0.2186094409347672,14.153478895175931,6.262949466739494,25610000384.0,2561000038.4,67698716645.999954,49267962777.5659,8289674429.425235,6746802081.408966,13044040190.29603,11412758953.779995,15330659327.13831,13682291494.884731,8453189314.339829,8289908211.4485655,13587457353.13538,13045986815.474125,16552642564.649164,15339380716.861298,142.47139423646178,26.28621598721059,144.4826922188715,38.53540160021711,155.5684262270594,28.826662026903417,6.225241154981386
cdfs_18884,1.34555698832,3.237128400815156,0.323712846509735,4.091953928992626,1.69902124987967,11000000512.0,1100000051.2,112516714576.94316,102110935975.5723,3560578742.707093,2897884618.331062,5602672652.103811,4902005168.983618,6584820691.887849,5876814180.629258,9504032555.021027,3812903517.580041,21657278591.687813,6710381685.246936,35468392605.02887,9105734435.89613,144.30872148849582,26.88500224513765,150.22564130195343,23.327412298846063,150.22564130195343,23.327412298846063,5.835169333053124
cdfs_23826,1.61514855492,4.33265061763011,0.4332650488144337,5.871262950601522,2.4564767443449655,23069999104.0,2306999910.4,80941064154.45474,62299960102.174416,7467504052.782909,6077653891.029805,11750331549.806408,10280840887.401642,13810163671.913595,12325281057.331013,11347273921.674023,7621153778.87991,21970933362.61717,12498520630.407373,31747226903.99975,15714671356.539196,274.2915097444077,40.91175017950956,259.0490008656966,43.12894760206793,259.0490008656966,43.12894760206793,5.8765938728372795
