KID,Names,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,Mgas,Mgas_err,Mbar,Mbar_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,Vmax,Vmax_err,VRe_int,VRe_int_err,VRopt_int,VRopt_int_err,VRout_int,VRout_int_err,Vmax_int,Vmax_int_err,Rot2disp_int
KROSS,C-zcos_z1_192,C-zcos_z1_192,0.914106107187718,0.544938027858734,33.4048098404057,3.5357754,1.0607326,8.64550955410579,3.5868583020469043,26.463765541882594,1.3231882770941297,9750575921.15481,4493352959.057516,137493429804.4896,49787254100.90802,147244005725.6444,137838735376.5128,93.42240969354243,19.1085198058537,115.78576340984355,24.91583434811718,133.7955730047916,33.293298866429005,171.70721366719394,73.9195713034359,58.76973287163688,14.202889660021867,92.19237862539802,27.051958305188705,129.73757249450125,33.79064758638833,171.561,73.9775114477366,6.316
KROSS,C-zcos_z1_197,C-zcos_z1_197,0.837415524117768,0.544938027858734,40.7686302913491,3.6033008,1.0809903,6.854073411594169,2.8603615673101084,6.302864241348513,0.3151432120674256,3990529604.81999,1838953734.940088,116991773247.70734,43473994416.54082,120982302852.52731,117059810926.5939,57.05467137341706,18.788922735765333,94.7339066584145,25.302795030807903,94.7339066584145,25.302795030807903,113.81360107401252,27.56592289758777,32.06778917551179,9.314729362279952,76.29824998209392,24.461341911303737,76.29824998209392,24.461341911303737,83.543,27.82823260647359,2.057
KROSS,C-zcos_z1_198,C-zcos_z1_198,0.95912955760026,0.544938027858734,68.625401228381,5.584179,1.6752537,25.15306573352951,10.845118817989103,16.37497244866071,0.8187486224330354,14224277280.6578,6554966488.782397,83600977951.53093,29667644901.632576,97825255232.18874,84802438518.06032,90.95177169108834,17.170778588036125,76.13587961333076,16.263028747546443,76.13587961333076,16.263028747546443,97.33055145793216,17.932876553466503,73.22180899648004,14.836309152480032,73.538,15.975200030046572,73.538,15.975200030046572,78.89657083053001,15.975200030046572,2.28
KROSS,C-zcos_z1_2,C-zcos_z1_2,0.896927556077255,0.544938027858734,57.2959272451797,6.1939964,1.858199,9.013051298294908,3.7461479090287675,9.861761822695067,0.4930880911347534,17580451640.9271,8101590617.938757,62958051561.87771,22250801712.32451,80538503202.80481,65366570480.38415,195.441490199318,39.620770229897,224.4377223917797,40.01265173009256,224.4377223917797,40.01265173009256,263.1174220728095,76.23232006954863,160.98974111491853,44.37544374729381,222.66237916729528,40.29976539664283,222.66237916729528,40.29976539664283,261.709,76.60653446018819,5.386
KROSS,C-zcos_z1_200,C-zcos_z1_200,0.955678747032042,0.544938027858734,39.6624753702348,3.176221,0.9528663,10.59114869962267,4.443075550205846,18.413009753030032,0.9206504876515014,4416009702.75437,2035027512.790032,164839877366.5892,60857069056.98598,169255887069.34357,164899018529.3017,90.6629179261448,23.589579716932768,64.37217376152964,10.524827967132106,70.49558502236593,18.569324039362755,91.98696690108744,22.1426868915976,58.52721101996575,20.01666705144247,61.24070102419895,8.800872637425595,69.35896560314099,17.884990100480856,71.031,22.131028037576563,5.049
KROSS,C-zcos_z1_202,C-zcos_z1_202,0.840891432150741,0.544938027858734,53.2512318199048,3.161079,0.9483237,14.259598848944265,5.941472657201341,58.11813223770885,2.905906611885442,18924743322.3092,8721079872.031889,161820137025.9835,57341286370.57766,180744880348.2927,162922996096.0802,151.54007470990226,29.22930395829942,143.78273425816056,23.29758022745189,162.5523950210312,32.062232022320266,202.31262868530047,66.19924901987093,98.68903808334478,28.28661303759709,114.1118618440582,20.93198766288439,148.69070315796708,33.190523878580464,196.836,67.7804276174177,4.761
KROSS,C-zcos_z1_354,C-zcos_z1_354,0.838741877969311,0.738352000713348,36.9638207802593,2.0538583,0.6161575,8.798953581670519,3.6601127119121575,13.6973578159741,0.6848678907987049,3443735869.87538,1586975055.2421107,187671575558.38715,69888488449.55661,191115311428.2625,187703168831.293,78.58910940006976,23.970724389625264,79.43165450668482,21.434479681459656,90.13568227895225,18.940595126806706,96.88421630086832,34.97663925654935,38.04065093890588,11.776274942545651,39.55460902231769,10.933041757001275,49.82537475253149,8.275535487472252,85.8510612244898,35.05693999766665,1.953
KROSS,C-zcos_z1_356,C-zcos_z1_356,0.970478480042079,0.738352000713348,27.6291441859696,2.4829235,0.7448771,11.494192556178378,4.771130972106674,51.65227726105011,2.582613863052505,15453621506.0599,7121484565.004563,141926438615.50067,50084277433.704506,157380060121.56058,142765291285.1441,75.4792803765653,20.38428532002467,99.84906210106008,13.970735144225255,113.71273845249542,16.788712193873927,139.73056062998177,21.73054763609822,59.75018406967653,16.203840681958003,79.78998007549637,8.246233972892343,95.19254557813086,15.060468218312062,138.209,21.74212512612325,5.477
KROSS,C-zcos_z1_460,C-zcos_z1_460,0.8962286235322,0.843818008899689,60.7953237239398,5.50943,1.652829,29.677577311342525,12.616500744410516,10.625629343636769,0.5312814671818383,16789212762.1344,7736964406.513548,66984568220.41745,23733129785.21533,83773780982.55185,69056571337.18684,165.750925797679,34.79715118797568,194.82748327944697,29.673784605445228,236.55570964675056,33.830207767152054,241.22735833036853,59.48588136241559,152.87189765339664,36.44343338799429,193.9374525253862,29.74952105559688,234.672369532432,33.94578780292978,238.8215398710553,59.57798895565375,15.345
KROSS,C-zcos_z1_472,C-zcos_z1_472,0.886578262609053,0.843818008899689,34.621240129845,3.236356,0.97090685,9.493028875924121,4.003065248507504,6.369081356438612,0.3184540678219306,7194991691.41558,3315664373.9242306,80796447577.9578,29589438376.35728,87991439269.37337,81116175000.16394,80.98768473662581,19.118959568500035,67.02620230283668,15.464424836793023,72.07895402057893,20.44751362070427,94.91477562788516,22.148131340282845,67.35155093150331,16.728938314234426,64.9689671797738,14.594245045722143,71.55119648512364,20.4509544976602,72.245,22.1579558182642,7.633
KROSS,C-zcos_z1_493,C-zcos_z1_493,0.888067460218673,0.600660026073456,43.9492911034831,4.303485,1.2910455,18.752198734944816,7.97864097952889,21.456908772685217,1.0728454386342607,4102324861.31627,1890472286.3208616,201832355096.77383,74826593869.56264,205934679958.09012,201874041504.04773,59.40520412956694,17.97678750368301,47.16220816896767,14.16645112899771,56.053755539921205,17.042246822673746,65.3834771731416,19.04446196249372,31.13152804049497,7.248084301831458,43.24172707775709,12.817180448539286,53.66921184697233,16.419112878546777,54.44,18.74257234213063,2.302
