KID,Names,File_names,Redshift,PSF,INC,Re,Re_err,Rgas,Rgas_err,SFR,SFR_err,Mstar,Mstar_err,MH2,MH2_err,MHI,MHI_err,VRe,VRe_err,VRopt,VRopt_err,VRout,VRout_err,Vmax,Vmax_err,VRe_int,VRe_int_err,VRopt_int,VRopt_int_err,VRout_int,VRout_int_err,Vmax_int,Vmax_int_err,Rot2disp_int,Fdm_Rout,Fdm_Rout_err
KROSS,C-HiZ_z1_245,C-HiZ_z1_245,0.833362054003167,0.544938027858734,61.5276364390461,3.4952984,1.0485896,17.727100179862212,7.505464376535571,13.087707195288148,0.6543853597644074,7962153419.22227,3669195124.065562,3994178045.108657,814676790.2553401,27402419425.359833,18979331655.28472,119.88856465480625,21.671285367679864,158.32356107704854,27.52554534877316,189.23366697971016,21.235201573230665,189.62246743262068,41.97372790593449,87.00568621486707,21.777117303983506,143.30001409131083,28.712147377383516,179.87598782735358,21.232327408421416,182.65,41.9781686713463,4.827,0.9390736792821088,0.0288192230968981
KROSS,C-HiZ_z1_258,C-HiZ_z1_258,0.837600692549843,0.544938027858734,50.5938354956762,4.6041574,1.3812473,19.07991964914128,8.095464199915511,9.053877507363111,0.4526938753681556,10691297668.4087,4926865284.980968,3572021638.983019,728571208.0694544,33505918315.617493,21386250806.952988,136.19095043847818,25.11485607423285,147.82256131504175,29.14813957285208,166.1382457429277,23.318485451218883,167.91358344242812,30.64044745058977,135.04946379514067,25.11103126642116,146.28395916374475,29.216502335445405,165.0688498610314,23.328332934986896,166.768,30.668263742833567,13.698,0.9200028415711532,0.0386765910359707
KROSS,C-HiZ_z1_267,C-HiZ_z1_267,0.839406416427833,0.544938027858734,31.0983058801545,4.431997,1.3295991,12.19233411922718,5.130343852284632,4.936622663510457,0.2468311331755228,2254395961.09858,1038892147.971696,1770263336.745723,361073651.9001322,17994536752.766674,14785415148.531862,91.1532710038235,9.64105222741918,89.70315756257924,7.93751543429812,89.70315756257924,7.93751543429812,96.52673881931445,16.328204519070535,84.76228514519957,6.267709822918908,88.157,6.945827668463997,88.157,6.945827668463997,88.157,6.945827668463997,3.926,0.9237627212882842,0.0295643465366762
KROSS,C-HiZ_z1_275,C-HiZ_z1_275,0.850856040719295,0.864396035671234,63.7515587259345,2.456358,0.7369074,7.979484820766549,3.3177224398011855,15.474694167771585,0.7737347083885789,8260952881.6871,3806890728.888065,4421267950.661895,901788638.920339,28012411160.807476,19229062222.5011,131.43214810768728,21.137647207039365,133.41872647811573,22.52036253968496,131.08419289589665,19.77334278938584,133.7761068668245,22.15570046994072,108.8964985105368,17.7784346065704,116.6110725436038,21.895062536477813,113.88666389093424,18.94772625640288,117.99890476190475,22.17963221464045,2.979,0.7939325364846919,0.092290275269497
KROSS,C-HiZ_z1_277,C-HiZ_z1_277,0.838362986672631,0.719727993011475,36.7080244458851,4.153598,1.2460794,15.031353776344217,6.359772176753824,5.330859076137712,0.2665429538068856,10691297668.4087,4926865284.980968,2727187875.567056,556253787.3370659,33505918315.617493,21386250806.952988,65.93706768911888,18.238375905791703,83.56992497638944,25.695048463660807,90.49048446256228,30.6862027729899,98.46509764553116,31.238238376460654,48.81316255457344,4.256968025087381,83.19708206608094,25.653245604433295,90.46263849055852,30.68763618322171,98.432,31.23882209654217,21.832,0.7025929703119933,0.1711309891047782
KROSS,C-HiZ_z1_285,C-HiZ_z1_285,0.833803935874193,0.544938027858734,71.3147182776239,1.5820578,0.4746174,19.344903899091822,8.167862299519815,8.318634285185079,0.4159317142592539,4886864121.89403,2252011116.0801983,2801722243.7125897,571456269.3292933,21846388466.940525,16590154033.798325,105.7800099432954,26.732453745752835,104.65154026789082,22.757624899804384,129.94388986785526,26.428566690977966,140.9783860372892,28.704858909637245,77.75704432790296,25.902506558651336,84.90207847720669,21.612383412688374,76.3077893162376,22.1685384953312,120.96,23.213043703845003,2.942,0.8365073618768712,0.0869027379527026
KROSS,C-HiZ_z1_289,C-HiZ_z1_289,0.842692496949874,0.719727993011475,46.2917739054202,3.7175689,1.1152707,9.809000520453552,4.070152814616236,13.122845953400638,0.656142297670032,11298745023.8063,5206794941.846221,4385089233.704947,894409408.281851,35039656557.375046,21962215843.47706,96.35709473898996,23.89868511595982,97.61934721735426,22.77156247450648,112.4580339109086,28.156179974828103,124.24533058142462,45.08281767344639,48.88732361688447,12.157522824910226,76.85246870790449,22.83646235923618,101.13265530721948,29.64025038595421,121.70282142857144,45.084010558068144,3.611,0.7483734816857492,0.1238669273628128
KROSS,C-HiZ_z1_297,C-HiZ_z1_297,0.840623489072706,0.719727993011475,36.1190977595172,3.7084405,1.1125323,6.657541362902495,2.7702623570704814,16.991881287908335,0.8495940643954166,22337271401.4147,10293673456.873133,5938092768.128927,1211169432.5950158,79030127910.2363,35596570345.17446,164.35343270485086,27.35576544185776,160.22561410471042,31.631746703927902,160.22561410471042,31.631746703927902,171.64174777636703,41.49458349252556,97.92780108507068,28.26531149021569,112.17213103182412,38.02828050761831,112.17213103182412,38.02828050761831,153.049,41.91563275199362,2.417,0.7507077712896487,0.1154026694793834
KROSS,C-HiZ_z1_314,C-HiZ_z1_314,0.834880298504295,0.738352000713348,42.3759501838744,1.7687768,0.53063303,6.2145401799303635,2.5900015785717354,30.08261537869388,1.504130768934694,10023757306.4554,4619242998.366545,6476648651.200461,1321016558.396318,31897763505.90505,20770712231.2825,231.2961428748696,34.94238814797113,208.06185601980488,30.933989545472592,186.56709971915143,29.334539002615475,236.0099480187208,37.70191211150456,194.98676327929337,35.80955490576399,155.62763091963154,35.10192041724369,116.10258526567624,34.65064401008545,202.972,42.31657386887554,2.492,0.8263410601634441,0.0773808432940086
KROSS,C-HiZ_z1_317,C-HiZ_z1_317,0.853780219124342,0.738352000713348,68.8397213445915,3.9519444,1.1855834,12.153843508705984,5.08980101372188,23.78170893132925,1.1890854465664624,19634975526.5671,9048375818.694515,6849035713.823132,1396970883.2871597,64761845593.26177,31627476011.32053,142.79315133064316,24.44349128674048,159.36799072471476,26.42481210398381,159.36799072471476,26.42481210398381,161.578166318487,27.65161535809724,68.06664205332838,13.774718137027955,90.80186673141142,26.923459471944483,90.80186673141142,26.923459471944483,90.97332653061224,31.254083333222237,1.121,0.8044257108066495,0.092264733592791
