Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
C-HiZ_z1_245,1.2200133893758278,1.2480225797237239,1.2781820303018898,0.021068242376036075,0.028728400973277085,0.03630167981882961
C-HiZ_z1_258,1.2499950493895586,1.28004941289482,1.3121546762942746,0.0530583403875672,0.06400733521484722,0.07486654813361399
C-HiZ_z1_267,1.0608055431072414,1.0855894973132094,1.1116644813108902,0.07610682779528227,0.08612160653570011,0.09614423614345756
C-HiZ_z1_275,0.8881678276844821,0.9016057972287198,0.9155229198570806,0.06487786638774726,0.07788184881147639,0.09051631935181387
C-HiZ_z1_277,1.1489073964453718,1.1775472384110823,1.2075055824027452,0.014204432893668847,0.029482165262627848,0.04461246550962329
C-HiZ_z1_285,1.2598702556307366,1.286573421891858,1.3146845473036197,0.02756534814720398,0.030180129124981123,0.032791461935680916
C-HiZ_z1_289,0.9813629922370016,0.991760857115303,1.0022034873001098,0.08561277339450016,0.09169479246316783,0.09778939812011504
C-HiZ_z1_297,0.8085294991117526,0.8234322788557639,0.8386724084282536,0.11325565890517716,0.12258803120287036,0.13181386658469926
C-HiZ_z1_314,0.7756779606813485,0.792955643873432,0.8108954577530749,0.12812004711524835,0.1413356432435986,0.15437763814008618
C-HiZ_z1_317,1.0629880019635847,1.0844842530817282,1.107083770743563,0.04658249339539803,0.05467990761562574,0.0626236233410459
C-HiZ_z1_319,1.613253274423869,1.6798457699313494,1.7364324944492926,-0.00804488350821303,0.003550685621253039,0.016223677685726138
C-HiZ_z1_340,0.7329028069501139,0.7449145400270893,0.7571144670431417,0.1308832911417341,0.13912344558863854,0.14733354951612748
C-HiZ_z1_90,1.0284507310676907,1.0532045767631848,1.078683754242676,0.039255348822743355,0.04202955255872158,0.04484907948176802
C-zcos_z1_1015,1.4668724213981115,1.4889517425676502,1.512163519200699,0.006270639415213221,0.010714037308176336,0.01507420007406068
C-zcos_z1_1021,0.867200219165718,0.8824154981981354,0.8978896193273038,0.05692001791806247,0.06381326749408094,0.07071582771529063
C-zcos_z1_156,1.0286423723102607,1.0472292830819219,1.0664051833296353,0.0736670117678642,0.08282633126750645,0.09179555130106884
C-zcos_z1_162,0.9916800978634694,1.0019051969802388,1.012423193521392,0.11362335880044111,0.11958418257344941,0.1254691808771698
C-zcos_z1_166,1.003610633120369,1.0363739986154732,1.0719085409235747,0.08617808432616941,0.10548355544822734,0.1243615491480367
C-zcos_z1_189,1.151245046194853,1.1890670469020561,1.2299870683545537,0.03977289167716443,0.04858881206279331,0.05739448343699715
C-zcos_z1_192,0.925912055428755,0.9363955728113326,0.9471263520792613,0.1004878261911221,0.10778407238584466,0.11505959215078672
C-zcos_z1_197,0.8181040623015365,0.8358547114942326,0.8542152339378725,0.07166265026315694,0.08071896777667022,0.08971538760483115
C-zcos_z1_198,1.363046552428001,1.4004168059619975,1.4409754340726466,0.023824104727369958,0.028066990842009344,0.03229956561885714
C-zcos_z1_2,0.9416516776137422,0.9550149055244669,0.9682679307916571,0.054190659900372785,0.05983238845322501,0.06552860578222233
C-zcos_z1_200,1.002778905920479,1.0254163829577778,1.0491806991218984,0.07568631465525866,0.08587557032946938,0.09600007034467586
C-zcos_z1_202,1.1387144439137031,1.1544220289386904,1.170434699083782,0.06342113194119696,0.072222826780381,0.08085850264772246
C-zcos_z1_354,0.9308386523427048,0.9443705185276351,0.9581393716880392,0.08889970478069284,0.09653356842196091,0.10408027117892989
C-zcos_z1_356,1.048853968561276,1.0603853014655984,1.0719779432291796,0.07888941855743155,0.08334410894282167,0.08785023654393725
C-zcos_z1_460,1.4404051047659747,1.4723662314715684,1.5061371688692784,0.009082489647539353,0.017820005456877668,0.026402057643691416
C-zcos_z1_472,0.952043491584226,0.9772842838168951,1.0037217795780076,0.07391334193273577,0.09114883422629166,0.10793162452360755
C-zcos_z1_493,1.2420294186155103,1.2736438720356094,1.3077932705831887,0.02014162983504541,0.02893871465987175,0.03759422321355931
C-zcos_z1_593,1.6930241164763313,1.7303081494996206,1.7574191093642948,-0.006759600420837706,-0.0018638831884867867,0.0033419467081366666
C-zcos_z1_642,1.0728728644717538,1.0897022007738502,1.1069684002187654,0.05990038641165666,0.06610731790451213,0.07229518297767291
C-zcos_z1_644,1.107022665817678,1.146031516897542,1.1883575944655203,0.036422894247436166,0.05792046147574813,0.07884413762946599
