Names,Re,Re_err,VRe,VRe_lerr,VRe_uerr,VRopt,VRopt_lerr,VRopt_uerr,VRout,VRout_lerr,VRout_uerr,Vdisp,Vdisp_lerr,Vdisp_uerr,Rot2disp_int,Rot2disp_pgc
C-HiZ_z1_245,3.4952984,1.0485896,118.92033319572826,21.95141218066472,21.95141218066472,158.32414470249282,27.439607455052787,27.439607455052787,186.26699412143503,21.987294295100998,21.987294295100998,37.837,14.304770183403857,14.304770183403857,4.827,5.012
C-HiZ_z1_258,4.6041574,1.3812473,136.19095043847818,25.114856074232854,25.114856074232854,147.82256131504175,29.14813957285208,29.14813957285208,162.72885722265795,23.85124467133236,23.85124467133236,12.175,14.412250414144212,14.412250414144212,13.698,13.792
C-HiZ_z1_267,4.431997,1.3295991,55.705647514059706,13.212056478057677,13.212056478057677,50.93800429894444,9.706838140403486,9.706838140403486,50.93800429894444,9.706838140403486,9.706838140403486,22.455034680445273,13.691976117420014,13.691976117420014,2.145,2.858
C-HiZ_z1_275,2.456358,0.7369074,131.43214810768728,16.91011776563149,16.91011776563149,133.41872647811573,20.473056854259053,20.473056854259053,131.45568729784128,19.96907862769518,19.96907862769518,39.608,13.690176952837389,13.690176952837389,2.979,3.378
C-HiZ_z1_277,4.153598,1.2460794,58.87281784483352,16.185964026802708,16.185964026802708,73.62099608673601,25.707162288588243,25.707162288588243,80.21019193941451,30.029243860597223,30.029243860597223,4.508581262437221,16.511981861666396,16.511981861666396,19.614,19.622
C-HiZ_z1_285,1.5820578,0.4746174,105.78000994329541,21.385962996602267,21.385962996602267,104.65154026789082,20.688749908913078,20.688749908913078,126.70959150585797,25.686195734523295,25.686195734523295,41.11729755832696,13.695851798993738,13.695851798993738,2.942,3.429
C-HiZ_z1_289,3.7175689,1.1152707,96.35709473898997,19.11894809276786,19.11894809276786,97.61934721735426,22.77156247450648,22.77156247450648,109.37370900475932,28.03542158224452,28.03542158224452,33.69994229223546,13.799450097739403,13.799450097739403,3.611,3.687
C-HiZ_z1_297,3.7084405,1.1125323,164.35343270485086,21.884612353486208,21.884612353486208,160.22561410471042,31.631746703927902,31.631746703927902,160.22561410471042,31.631746703927902,31.631746703927902,63.317317271817515,14.465562121811928,14.465562121811928,2.417,2.711
C-HiZ_z1_314,1.7687768,0.53063303,231.2961428748696,27.953910518376905,27.953910518376905,208.06185601980488,28.121808677702358,28.121808677702358,188.17668348909416,29.0735571896551,29.0735571896551,81.45719888383101,15.695483251559985,15.695483251559985,2.492,2.897
C-HiZ_z1_317,3.9519444,1.1855834,142.79315133064316,19.554793029392386,19.554793029392386,159.36799072471476,26.424812103983815,26.424812103983815,159.36799072471476,26.424812103983815,26.424812103983815,81.15740962167287,15.34356446527338,15.34356446527338,1.121,1.991
C-HiZ_z1_319,7.07452,2.1223562,170.055942479536,37.31419896121147,37.31419896121147,167.64188016534143,52.76560526443829,52.76560526443829,167.64188016534143,52.76560526443829,52.76560526443829,9.303730273390347,13.78203437450364,13.78203437450364,19.65,19.66
C-HiZ_z1_340,2.2292604,0.6687782,173.0594207985065,17.238352313883425,17.238352313883425,195.22685986241922,18.99159664097744,18.99159664097744,175.6777099324026,41.895329723414136,41.895329723414136,49.06344550171747,13.603090567955505,13.603090567955505,3.383,3.994
C-HiZ_z1_90,2.5611658,0.76834977,67.39871731038758,19.381221881441256,19.381221881441256,81.81633824527336,21.84877451383903,21.84877451383903,85.8535552927552,20.761488612079756,20.761488612079756,45.87101564713823,14.428236534656618,14.428236534656618,1.005,1.907
C-zcos_z1_1015,7.291261,2.1873784,173.2119622114421,35.53785826217784,35.53785826217784,245.81892596577944,27.563253232369487,27.563253232369487,230.16178332697385,45.690719163561056,45.690719163561056,30.03436818879332,15.424310778767394,15.424310778767394,8.448,8.514
C-zcos_z1_1021,3.6876013,1.1062804,121.02184434298191,19.93679074088449,19.93679074088449,87.59266848880303,21.275228054153626,21.275228054153626,87.59266848880303,21.275228054153626,21.275228054153626,62.329,13.710237051196453,13.710237051196453,1.403,2.404
C-zcos_z1_156,2.1255233,0.63765705,106.88027878522337,21.406900200733677,21.406900200733677,115.79159512063094,23.029358595360147,23.029358595360147,112.90930092137266,24.235848861670462,24.235848861670462,44.82593000150694,14.962946050160044,14.962946050160044,2.279,2.816
C-zcos_z1_162,5.1750646,1.5525194,114.76341450449587,20.009465745960455,20.009465745960455,148.67768852900065,29.322909583974873,29.322909583974873,113.32248837488864,43.70243535891009,43.70243535891009,44.6487360683368,14.861786332739413,14.861786332739413,2.713,3.438
C-zcos_z1_166,2.7665849,0.8299755,69.33785381411656,19.51366499075054,19.51366499075054,76.23306555810433,19.44092913380634,19.44092913380634,83.39316961458488,24.611682468043444,24.611682468043444,12.746445563371775,13.273243970484382,13.273243970484382,6.624,6.709
